Golden_Globe_Winner_ID,Winner,Year_Ceremony,Movie_Name,Golden_Globe_Award,GG_Award_ID
304,John Travolta,1996,Get Shorty,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
305,Sharon Stone,1996,Casino,Best Performance by an Actress in a Motion Picture - Drama,GG002
306,Colors of the Wind,1996,Pocahontas,Best Original Song - Motion Picture,GG014
307,Forrest Gump,1995,Forrest Gump,Best Motion Picture - Drama,GG001
308,The Lion King (1994),1995,The Lion King (1994),Best Motion Picture - Musical or Comedy,GG004
309,Robert Zemeckis,1995,Forrest Gump,Best Director - Motion Picture,GG011
310,Farinelli,1995,Farinelli,Best Motion Picture – Non-English Language,GG008
311,Dianne Wiest,1995,Bullets Over Broadway,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
312,Jamie Lee Curtis,1995,True Lies,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
313,Hugh Grant,1995,Four Weddings and a Funeral,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
314,Martin Landau,1995,Ed Wood,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
315,Jessica Lange,1995,Blue Sky,Best Performance by an Actress in a Motion Picture - Drama,GG002
316,Can You Feel the Love Tonight?,1995,The Lion King (1994),Best Original Song - Motion Picture,GG014
317,Schindler's List,1994,Schindler's List,Best Motion Picture - Drama,GG001
318,Mrs. Doubtfire,1994,Mrs. Doubtfire,Best Motion Picture - Musical or Comedy,GG004
319,Kitarô Kitarô,1994,Heaven & Earth,Best Original Score - Motion Picture,GG013
320,Farewell My Concubine,1994,Farewell My Concubine,Best Motion Picture – Non-English Language,GG008
321,Winona Ryder,1994,The Age of Innocence,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
322,Angela Bassett,1994,What's Love Got To Do With It,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
323,Robin Williams,1994,Mrs. Doubtfire,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
324,Tommy Lee Jones,1994,The Fugitive,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
325,Holly Hunter,1994,The Piano,Best Performance by an Actress in a Motion Picture - Drama,GG002
326,Streets of Philadelphia,1994,Philadelphia,Best Original Song - Motion Picture,GG014
327,Al Pacino,1993,Scent of a Woman,Best Performance by an Actor in a Motion Picture - Drama,GG003
328,Bo Goldman,1993,Scent of a Woman,Best Screenplay - Motion Picture,GG012
329,Robin Williams,1993,Aladdin,Special Achievement Award,GG015
330,Scent of a Woman,1993,Scent of a Woman,Best Motion Picture - Drama,GG001
331,"Player, The",1993,The Player,Best Motion Picture - Musical or Comedy,GG004
332,Alan Menken,1993,Aladdin,Best Original Score - Motion Picture,GG013
333,Indochine,1993,Indochine,Best Motion Picture – Non-English Language,GG008
334,Joan Plowright,1993,Enchanted April,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
335,Miranda Richardson,1993,Enchanted April,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
336,Tim Robbins,1993,The Player,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
337,Gene Hackman,1993,Unforgiven,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
338,Emma Thompson,1993,Howards End,Best Performance by an Actress in a Motion Picture - Drama,GG002
339,A Whole New World,1993,Aladdin,Best Original Song - Motion Picture,GG014
340,Nick Nolte,1992,The Prince of Tides,Best Performance by an Actor in a Motion Picture - Drama,GG003
341,Bugsy,1992,Bugsy,Best Motion Picture - Drama,GG001
342,Beauty and the Beast,1992,Beauty and the Beast,Best Motion Picture - Musical or Comedy,GG004
343,Oliver Stone,1992,JFK,Best Director - Motion Picture,GG011
344,Mercedes Ruehl,1992,The Fisher King,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
345,Bette Midler,1992,For The Boys,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
346,Jack Palance,1992,City Slickers,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
347,Jodie Foster,1992,The Silence of the Lambs,Best Performance by an Actress in a Motion Picture - Drama,GG002
348,Jeremy Irons,1991,Reversal of Fortune,Best Performance by an Actor in a Motion Picture - Drama,GG003
349,Michael Blake,1991,Dances with Wolves,Best Screenplay - Motion Picture,GG012
350,Dances with Wolves,1991,Dances with Wolves,Best Motion Picture - Drama,GG001
351,Green Card,1991,Green Card,Best Motion Picture - Musical or Comedy,GG004
352,"Richard Horowitz, Ryuichi Sakamoto",1991,The Sheltering Sky,Best Original Score - Motion Picture,GG013
353,Kevin Costner,1991,Dances with Wolves,Best Director - Motion Picture,GG011
354,Cyrano De Bergerac (1990),1991,Cyrano De Bergerac (1990),Best Motion Picture – Non-English Language,GG008
355,Whoopi Goldberg,1991,Ghost,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
356,Julia Roberts,1991,Pretty Woman,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
357,Bruce Davison,1991,Longtime Companion,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
358,Kathy Bates,1991,Misery,Best Performance by an Actress in a Motion Picture - Drama,GG002
359,Tom Cruise,1990,Born on the Fourth of July,Best Performance by an Actor in a Motion Picture - Drama,GG003
360,Born on the Fourth of July,1990,Born on the Fourth of July,Best Motion Picture - Drama,GG001
361,Driving Miss Daisy,1990,Driving Miss Daisy,Best Motion Picture - Musical or Comedy,GG004
362,Cinema Paradiso,1990,Cinema Paradiso,Best Motion Picture – Non-English Language,GG008
363,Julia Roberts,1990,Steel Magnolias,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
364,Jessica Tandy,1990,Driving Miss Daisy,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
365,Morgan Freeman,1990,Driving Miss Daisy,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
366,Denzel Washington,1990,Glory,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
367,Michelle Pfeiffer,1990,The Fabulous Baker Boys,Best Performance by an Actress in a Motion Picture - Drama,GG002
368,"Oliver Stone, Ron Kovic",1990,Born on the Fourth of July,Best Screenplay - Motion Picture,GG012
369,Dustin Hoffman,1989,Rain Man,Best Performance by an Actor in a Motion Picture - Drama,GG003
370,Naomi Foner,1989,Running on Empty,Best Screenplay - Motion Picture,GG012
371,Rain Man,1989,Rain Man,Best Motion Picture - Drama,GG001
372,Working Girl,1989,Working Girl,Best Motion Picture - Musical or Comedy,GG004
373,Sigourney Weaver,1989,Working Girl,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
374,Tom Hanks,1989,Big,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
375,Shirley MacLaine,1989,Madame Sousatzka,Best Performance by an Actress in a Motion Picture - Drama,GG002
376,Sigourney Weaver,1989,Gorillas in the Mist: The Adventure of Dian Fossey,Best Performance by an Actress in a Motion Picture - Drama,GG002
377,Michael Douglas,1988,Wall Street,Best Performance by an Actor in a Motion Picture - Drama,GG003
378,Bernardo Bertolucci,1988,The Last Emperor,Best Screenplay - Motion Picture,GG012
379,"Last Emperor, The",1988,The Last Emperor,Best Motion Picture - Drama,GG001
380,Hope and Glory,1988,Hope and Glory,Best Motion Picture - Musical or Comedy,GG004
381,"David Byrne, Ryuichi Sakamoto, Cong Su",1988,The Last Emperor,Best Original Score - Motion Picture,GG013
382,Bernardo Bertolucci,1988,The Last Emperor,Best Director - Motion Picture,GG011
383,My Life as a Dog,1988,My Life as a Dog,Best Motion Picture – Non-English Language,GG008
384,Olympia Dukakis,1988,Moonstruck,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
385,Sean Connery,1988,The Untouchables,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
386,Sally Kirkland,1988,Anna,Best Performance by an Actress in a Motion Picture - Drama,GG002
387,(I've Had) The Time of My Life,1988,Dirty Dancing,Best Original Song - Motion Picture,GG014
388,Bob Hoskins,1987,Mona Lisa,Best Performance by an Actor in a Motion Picture - Drama,GG003
389,Robert Bolt,1987,The Mission,Best Screenplay - Motion Picture,GG012
390,Platoon,1987,Platoon,Best Motion Picture - Drama,GG001
391,Hannah and Her Sisters,1987,Hannah and Her Sisters,Best Motion Picture - Musical or Comedy,GG004
392,Sissy Spacek,1987,Crimes of the Heart,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
393,Tom Berenger,1987,Platoon,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
394,Marlee Matlin,1987,Children of a Lesser God,Best Performance by an Actress in a Motion Picture - Drama,GG002
395,Take My Breath Away,1987,Top Gun,Best Original Song - Motion Picture,GG014
396,Out of Africa,1986,Out of Africa,Best Motion Picture - Drama,GG001
397,Prizzi's Honor,1986,Prizzi's Honor,Best Motion Picture - Musical or Comedy,GG004
398,"Official Story, The",1986,The Official Story,Best Motion Picture – Non-English Language,GG008
399,Meg Tilly,1986,Agnes of God,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
400,Kathleen Turner,1986,Prizzi's Honor,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
401,Jack Nicholson,1986,Prizzi's Honor,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
402,Klaus Maria Brandauer,1986,Out of Africa,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
403,Whoopi Goldberg,1986,The Color Purple,Best Performance by an Actress in a Motion Picture - Drama,GG002
404,,1986,White Nights,Best Original Song - Motion Picture,GG014
405,F. Murray Abraham,1985,Amadeus,Best Performance by an Actor in a Motion Picture - Drama,GG003
406,Peter Shaffer,1985,Amadeus,Best Screenplay - Motion Picture,GG012
407,Amadeus,1985,Amadeus,Best Motion Picture - Drama,GG001
408,Romancing the Stone,1985,Romancing the Stone,Best Motion Picture - Musical or Comedy,GG004
409,"Passage to India, A",1985,A Passage to India,Best Motion Picture – Non-English Language,GG008
410,Peggy Ashcroft,1985,A Passage to India,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
411,Dudley Moore,1985,Micki & Maude,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
412,Haing S. Ngor,1985,The Killing Fields,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
413,Sally Field,1985,Places in the Heart,Best Performance by an Actress in a Motion Picture - Drama,GG002
414,I Just Called To Say I Love You,1985,The Woman in Red,Best Original Song - Motion Picture,GG014
415,Tom Courtenay,1984,The Dresser,Best Performance by an Actor in a Motion Picture - Drama,GG003
416,Robert Duvall,1984,Tender Mercies,Best Performance by an Actor in a Motion Picture - Drama,GG003
417,Terms of Endearment,1984,Terms of Endearment,Best Motion Picture - Drama,GG001
418,Yentl,1984,Yentl,Best Motion Picture - Musical or Comedy,GG004
419,Giorgio Moroder,1984,Flashdance,Best Original Score - Motion Picture,GG013
420,Barbra Streisand,1984,Yentl,Best Director - Motion Picture,GG011
421,Fanny & Alexander,1984,Fanny & Alexander,Best Motion Picture – Non-English Language,GG008
422,Cher,1984,Silkwood,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
423,Julie Walters,1984,Educating Rita,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
424,Michael Caine,1984,Educating Rita,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
425,Jack Nicholson,1984,Terms of Endearment,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
426,Flashdance… What a Feeling,1984,Flashdance,Best Original Song - Motion Picture,GG014
427,Ben Kingsley,1983,Gandhi,Best Performance by an Actor in a Motion Picture - Drama,GG003
428,John Briley,1983,Gandhi,Best Screenplay - Motion Picture,GG012
429,Sandahl Bergman,1983,Conan the Barbarian,New Star Of The Year - Actress,GG016
430,Ben Kingsley,1983,Gandhi,New Star Of The Year - Actor,GG017
431,Richard Attenborough,1983,Gandhi,Best Director - Motion Picture,GG011
432,Gandhi,1983,Gandhi,Best Motion Picture – Non-English Language,GG008
433,Julie Andrews,1983,Victor Victoria,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
434,Dustin Hoffman,1983,Tootsie,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
435,Louis Gossett Jr.,1983,"Officer and a Gentleman, An",Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
436,Meryl Streep,1983,Sophie's Choice,Best Performance by an Actress in a Motion Picture - Drama,GG002
437,Up Where We Belong,1983,"Officer and a Gentleman, An",Best Original Song - Motion Picture,GG014
438,Henry Fonda,1982,On Golden Pond,Best Performance by an Actor in a Motion Picture - Drama,GG003
439,On Golden Pond,1982,On Golden Pond,Best Motion Picture - Drama,GG001
440,Arthur,1982,Arthur,Best Motion Picture - Musical or Comedy,GG004
441,Warren Beatty,1982,Reds,Best Director - Motion Picture,GG011
442,Chariots of Fire,1982,Chariots of Fire,Best Motion Picture – Non-English Language,GG008
443,Pia Zadora,1982,Butterfly,New Star Of The Year,GG018
444,Joan Hackett,1982,Only When I Laugh,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
445,Bernadette Peters,1982,Pennies from Heaven,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
446,John Gielgud,1982,Arthur,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
447,Arthur's Theme (Best That You Can Do),1982,Arthur,Best Original Song - Motion Picture,GG014
448,Robert De Niro,1981,Raging Bull,Best Performance by an Actor in a Motion Picture - Drama,GG003
449,William Peter Blatty,1981,The Ninth Configuration,Best Screenplay - Motion Picture,GG012
450,Ordinary People,1981,Ordinary People,Best Motion Picture - Drama,GG001
451,Coal Miner's Daughter,1981,Coal Miner's Daughter,Best Motion Picture - Musical or Comedy,GG004
452,Nastassja Kinski,1981,Tess,New Star Of The Year - Actress,GG016
453,Timothy Hutton,1981,Ordinary People,New Star Of The Year - Actor,GG017
454,Dominic Frontiere,1981,The Stunt Man,Best Original Score - Motion Picture,GG013
455,Mary Steenburgen,1981,Melvin and Howard,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
456,Timothy Hutton,1981,Ordinary People,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
457,Mary Tyler Moore,1981,Ordinary People,Best Performance by an Actress in a Motion Picture - Drama,GG002
458,Fame,1981,Fame,Best Original Song - Motion Picture,GG014
459,Kramer vs. Kramer,1980,Kramer vs. Kramer,Best Motion Picture - Drama,GG001
460,Breaking Away,1980,Breaking Away,Best Motion Picture - Musical or Comedy,GG004
461,Bette Midler,1980,The Rose,New Star Of The Year - Actress,GG016
462,Ricky/Rick Schroder,1980,The Champ,New Star Of The Year - Actor,GG017
463,Carmine Coppola,1980,Apocalypse Now,Best Original Score - Motion Picture,GG013
464,Francis Ford Coppola,1980,Apocalypse Now,Best Director - Motion Picture,GG011
465,"Cage aux Folles, La",1980,"Cage aux Folles, La",Best Motion Picture – Non-English Language,GG008
466,Jane Fonda,1980,Jane Fonda,World Film Favorites,GG019
467,Roger Moore,1980,Roger Moore,World Film Favorites,GG019
468,Peter Sellers,1980,Being There,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
469,Melvyn Douglas,1980,Being There,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
470,Robert Duvall,1980,Apocalypse Now,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
471,The Rose,1980,The Rose,Best Original Song - Motion Picture,GG014
472,Jon Voight,1979,Coming Home,Best Performance by an Actor in a Motion Picture - Drama,GG003
473,Oliver Stone,1979,Midnight Express,Best Screenplay - Motion Picture,GG012
474,Midnight Express,1979,Midnight Express,Best Motion Picture - Drama,GG001
475,Heaven Can Wait,1979,Heaven Can Wait,Best Motion Picture - Musical or Comedy,GG004
476,Irene Miracle,1979,Midnight Express,New Star Of The Year - Actress,GG016
477,Brad Davis,1979,Midnight Express,New Star Of The Year - Actor,GG017
478,Michael Cimino,1979,The Deer Hunter,Best Director - Motion Picture,GG011
479,Autumn Sonata,1979,Autumn Sonata,Best Motion Picture – Non-English Language,GG008
480,John Travolta,1979,John Travolta,World Film Favorites,GG019
481,Dyan Cannon,1979,Heaven Can Wait,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
482,Ellen Burstyn,1979,"Same Time, Next Year",Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
483,Maggie Smith,1979,California Suite,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
484,Warren Beatty,1979,Heaven Can Wait,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
485,Jane Fonda,1979,Coming Home,Best Performance by an Actress in a Motion Picture - Drama,GG002
486,Last Dance,1979,Thank God It's Friday,Best Original Song - Motion Picture,GG014
487,Richard Burton,1978,Equus,Best Performance by an Actor in a Motion Picture - Drama,GG003
488,Neil Simon,1978,The Goodbye Girl,Best Screenplay - Motion Picture,GG012
489,"Turning Point, The",1978,The Turning Point,Best Motion Picture - Drama,GG001
490,"Goodbye Girl, The",1978,The Goodbye Girl,Best Motion Picture - Musical or Comedy,GG004
491,Herbert Ross,1978,The Turning Point,Best Director - Motion Picture,GG011
492,Marsha Mason,1978,The Goodbye Girl,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
493,Richard Dreyfuss,1978,The Goodbye Girl,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
494,Peter Firth,1978,Equus,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
495,You Light Up My Life,1978,You Light Up My Life,Best Original Song - Motion Picture,GG014
496,Peter Finch,1977,Network,Best Performance by an Actor in a Motion Picture - Drama,GG003
497,Paddy Chayefsky,1977,Network,Best Screenplay - Motion Picture,GG012
498,Rocky,1977,Rocky,Best Motion Picture - Drama,GG001
499,"Star Is Born, A (1976)",1977,"Star Is Born, A (1976)",Best Motion Picture - Musical or Comedy,GG004
500,Arnold Schwarzenegger,1977,Stay Hungry,New Star Of The Year - Actor,GG017
501,Sidney Lumet,1977,Network,Best Director - Motion Picture,GG011
502,Face to Face,1977,Face to Face,Best Motion Picture – Non-English Language,GG008
503,Sophia Loren,1977,Sophia Loren,World Film Favorites,GG019
504,Robert Redford,1977,Robert Redford,World Film Favorites,GG019
505,Katharine Ross,1977,Voyage of the Damned,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
506,Barbra Streisand,1977,"Star Is Born, A (1976)",Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
507,Kris Kristofferson,1977,"Star Is Born, A (1976)",Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
508,Laurence Olivier,1977,Marathon Man,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
509,Faye Dunaway,1977,Network,Best Performance by an Actress in a Motion Picture - Drama,GG002
510,Altars of the World,1977,Altars of the World,Documentary,GG020
511,Evergreen,1977,"Star Is Born, A (1976)",Best Original Song - Motion Picture,GG014
512,Jessica Lange,1977,Jessica Lange,New Star Of The Year - Actress,GG016
513,"Paul Williams, Kenny Ascher",1977,"Star Is Born, A (1976)",Best Original Score - Motion Picture,GG013
514,One Flew Over The Cuckoo's Nest,1976,One Flew Over The Cuckoo's Nest,Best Motion Picture - Drama,GG001
515,"Sunshine Boys, The",1976,The Sunshine Boys,Best Motion Picture - Musical or Comedy,GG004
516,Marilyn Hassett,1976,The Other Side of the Mountain,New Star Of The Year - Actress,GG016
517,Brad Dourif,1976,One Flew Over The Cuckoo's Nest,New Star Of The Year - Actor,GG017
518,Lies My Father Told Me,1976,Lies My Father Told Me,Best Motion Picture – Non-English Language,GG008
519,Brenda Vaccaro,1976,Jacqueline Susann's Once Is Not Enough,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
520,Ann-Margret Olsson,1976,Tommy,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
521,Richard Benjamin,1976,The Sunshine Boys,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
522,Louise Fletcher,1976,One Flew Over The Cuckoo's Nest,Best Performance by an Actress in a Motion Picture - Drama,GG002
523,Youthquake,1976,Youthquake,Documentary,GG020
524,I'm Easy,1976,Nashville,Best Original Song - Motion Picture,GG014
525,Robert Towne,1975,Chinatown,Best Screenplay - Motion Picture,GG012
526,Chinatown,1975,Chinatown,Best Motion Picture - Drama,GG001
527,The Longest Yard,1975,The Longest Yard,Best Motion Picture - Musical or Comedy,GG004
528,Susan Flannery,1975,The Towering Inferno,New Star Of The Year - Actress,GG016
529,Joseph Bottoms,1975,The Dove,New Star Of The Year - Actor,GG017
530,"Alan Jay Lerner, Frederick Loewe",1975,The Little Prince,Best Original Score - Motion Picture,GG013
531,Roman Polanski,1975,Chinatown,Best Director - Motion Picture,GG011
532,Scenes From a Marriage,1975,Scenes From a Marriage,Best Motion Picture – Non-English Language,GG008
533,Barbra Streisand,1975,Barbra Streisand,World Film Favorites,GG019
534,Karen Black,1975,The Great Gatsby,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
535,Art Carney,1975,Harry & Tonto,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
536,Fred Astaire,1975,The Towering Inferno,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
537,Gena Rowlands,1975,A Woman Under The Influence,Best Performance by an Actress in a Motion Picture - Drama,GG002
538,Animals Are Beautiful People,1975,Animals Are Beautiful People,Documentary,GG020
539,Benji's Theme (I Feel Love),1975,Benji,Best Original Song - Motion Picture,GG014
540,"Exorcist, The",1974,The Exorcist,Best Motion Picture - Drama,GG001
541,American Graffiti,1974,American Graffiti,Best Motion Picture - Musical or Comedy,GG004
542,Tatum O’Neal,1974,Paper Moon,New Star Of The Year - Actress,GG016
543,Paul Le Mat,1974,American Graffiti,New Star Of The Year - Actor,GG017
544,"Pedestrian, The",1974,The Pedestrian,Best Motion Picture – Non-English Language,GG008
545,Marlon Brando,1974,Marlon Brando,World Film Favorites,GG019
546,Elizabeth Taylor,1974,Elizabeth Taylor,World Film Favorites,GG019
547,Linda Blair,1974,The Exorcist,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
548,Glenda Jackson,1974,A Touch of Class,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
549,George Segal,1974,A Touch of Class,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
550,John Houseman,1974,The Paper Chase,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
551,Marsha Mason,1974,Cinderella Liberty,Best Performance by an Actress in a Motion Picture - Drama,GG002
552,Visions of Eight,1974,Visions of Eight,Documentary,GG020
553,Marlon Brando,1973,The Godfather,Best Performance by an Actor in a Motion Picture - Drama,GG003
554,Francis Ford Coppola,1973,The Godfather,Best Screenplay - Motion Picture,GG012
555,"Godfather, The",1973,The Godfather,Best Motion Picture - Drama,GG001
556,Cabaret,1973,Cabaret,Best Motion Picture - Musical or Comedy,GG004
557,Diana Ross,1973,Lady Sings the Blues,New Star Of The Year - Actress,GG016
558,Edward Albert,1973,Butterflies Are Free,New Star Of The Year - Actor,GG017
559,Nino Rota,1973,The Godfather,Best Original Score - Motion Picture,GG013
560,Young Winston,1973,Young Winston,Foreign Film - English Language,GG021
561,"Emigrants, The",1973,The Emigrants,Foreign Film - Foreign Language,GG022
562,"New Land, The",1973,The New Land,Foreign Film - Foreign Language,GG022
563,Shelley Winters,1973,The Poseidon Adventure,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
564,Liza Minnelli,1973,Cabaret,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
565,Jack Lemmon,1973,Avanti!,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
566,Joel Grey,1973,Cabaret,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
567,Elvis on Tour,1973,Elvis on Tour,Documentary,GG020
568,Walls of Fire,1973,Walls of Fire,Documentary,GG020
569,Ben,1973,Ben,Best Original Song - Motion Picture,GG014
570,Gene Hackman,1972,The French Connection,Best Performance by an Actor in a Motion Picture - Drama,GG003
571,Twiggy –,1972,The Boy Friend,New Star Of The Year - Actress,GG016
572,Desi Arnaz Jr.,1972,Red Sky at Morning,New Star Of The Year - Actor,GG017
573,Isaac Hayes,1972,Shaft,Best Original Score - Motion Picture,GG013
574,William Friedkin,1972,The French Connection,Best Director - Motion Picture,GG011
575,Ann-Margret Olsson,1972,Carnal Knowledge,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
576,Twiggy –,1972,The Boy Friend,Actress In A Leading Role - Musical Or Comedy,GG023
577,Chaim Topol,1972,Fiddler on the Roof,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
578,Ben Johnson,1972,The Last Picture Show,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
579,Life Is What You Make It,1972,Kotch,Best Original Song - Motion Picture,GG014
580,Erich Segal,1971,Love Story,Best Screenplay - Motion Picture,GG012
581,Love Story,1971,Love Story,Best Motion Picture - Drama,GG001
582,Carrie Snodgress,1971,Diary of a Mad Housewife,New Star Of The Year - Actress,GG016
583,James Earl Jones,1971,The Great White Hope,New Star Of The Year - Actor,GG017
584,Francis Lai,1971,Love Story,Best Original Score - Motion Picture,GG013
585,Arthur Hiller,1971,Love Story,Best Director - Motion Picture,GG011
586,Women In Love,1971,Women In Love,Foreign Film - English Language,GG021
587,Rider on the Rain,1971,Rider on the Rain,Foreign Film - Foreign Language,GG022
588,Clint Eastwood,1971,Clint Eastwood,World Film Favorites,GG019
589,Sidney Poitier,1971,Sidney Poitier,World Film Favorites,GG019
590,Maureen Stapleton,1971,Airport,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
591,Carrie Snodgress,1971,Diary of a Mad Housewife,Actress In A Leading Role - Musical Or Comedy,GG023
592,Albert Finney,1971,Scrooge,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
593,John Mills,1971,Ryan's Daughter,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
594,Ali MacGraw,1971,Love Story,Best Performance by an Actress in a Motion Picture - Drama,GG002
595,Whistling Away the Dark,1971,Darling Lili,Best Original Song - Motion Picture,GG014
596,M*A*S*H,1971,M*A*S*H,Best Motion Picture - Musical or Comedy,GG004
597,John Wayne,1970,True Grit,Best Performance by an Actor in a Motion Picture - Drama,GG003
598,Bridget Boland,1970,Anne of the Thousand Days,Best Screenplay - Motion Picture,GG012
599,Anne of the Thousand Days,1970,Anne of the Thousand Days,Best Motion Picture - Drama,GG001
600,"Secret of Santa Vittoria, The",1970,The Secret of Santa Vittoria,Best Motion Picture - Musical or Comedy,GG004
601,Ali MacGraw,1970,"Goodbye, Columbus",New Star Of The Year - Actress,GG016
602,Jon Voight,1970,Midnight Cowboy,New Star Of The Year - Actor,GG017
603,Burt Bacharach,1970,Butch Cassidy and The Sundance Kid,Best Original Score - Motion Picture,GG013
604,Charles Jarrott,1970,Anne of the Thousand Days,Best Director - Motion Picture,GG011
605,Oh! What a Lovely War,1970,Oh! What a Lovely War,Foreign Film - English Language,GG021
606,Z,1970,Z,Foreign Film - Foreign Language,GG022
607,Julie Andrews,1970,Julie Andrews,World Film Favorites,GG019
608,Mia Farrow,1970,Mia Farrow,World Film Favorites,GG019
609,Steve McQueen,1970,Steve McQueen,World Film Favorites,GG019
610,Goldie Hawn,1970,Cactus Flower,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
611,Patty Duke,1970,"Me, Natalie",Actress In A Leading Role - Musical Or Comedy,GG023
612,Peter O’Toole,1970,"Goodbye, Mr. Chips",Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
613,Gig Young,1970,"They Shoot Horses, Don't They?",Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
614,Geneviève Bujold,1970,Anne of the Thousand Days,Best Performance by an Actress in a Motion Picture - Drama,GG002
615,Jean,1970,The Prime of Miss Jean Brodie,Best Original Song - Motion Picture,GG014
