Movie_ID,Oscar_Award_ID,GG_Award_ID
419,,GG006
420,OWA0092,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,OWA0053,
449,,
450,OWA0080,GG002
450,OWA0081,GG002
450,OWA0012,GG002
450,OWA0060,GG002
450,OWA0095,GG002
451,OWA0080,GG014
451,OWA0078,GG014
452,OWA0080,GG013
452,OWA0030,GG013
453,,GG004
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,OWA0081,GG002
464,,
465,,
466,,
467,OWA0080,GG012
467,OWA0080,GG001
467,OWA0004,GG012
467,OWA0004,GG001
467,OWA0012,GG012
467,OWA0012,GG001
467,OWA0060,GG012
467,OWA0060,GG001
467,OWA0088,GG012
467,OWA0088,GG001
468,OWA0078,
468,OWA0097,
469,OWA0004,GG001
469,OWA0004,GG011
469,OWA0100,GG001
469,OWA0100,GG011
469,OWA0084,GG001
469,OWA0084,GG011
470,OWA0078,GG014
471,,GG002
472,,
473,,
474,,
475,,
476,,
477,,GG002
478,,
479,,
480,,GG006
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,OWA0003,
490,OWA0004,
490,OWA0053,
490,OWA0074,
491,,
492,OWA0062,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
501,,
502,OWA0030,GG004
502,OWA0078,GG004
503,,
504,,
505,,
506,,
507,OWA0030,
507,OWA0078,
508,OWA0026,GG004
508,OWA0026,GG005
508,OWA0026,GG006
508,OWA0003,GG004
508,OWA0003,GG005
508,OWA0003,GG006
508,OWA0053,GG004
