Movie Name,Rating,Votes,Meta Score,PG Rating,Year_x,Duration,Director,Movie ID,Director ID,Oscar Award ID,GG Award ID
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0020,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0060,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0084,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0095,GG010
Back to the Future,8.5,1300000.0,87.0,PG,1985,1h 56m,Robert Zemeckis,231,41,OWA0093,N/A
Cast Away,7.8,627000.0,73.0,PG-13,2000,2h 23m,Robert Zemeckis,1118,41,N/A,N/A
Flight,7.3,371000.0,76.0,R,2012,2h 18m,Robert Zemeckis,1287,41,N/A,N/A
Contact,7.5,289000.0,62.0,PG,1997,2h 30m,Robert Zemeckis,1531,41,N/A,N/A
Who Framed Roger Rabbit,7.7,213000.0,83.0,PG,1988,1h 44m,Robert Zemeckis,1543,41,OWA0020,N/A
Who Framed Roger Rabbit,7.7,213000.0,83.0,PG,1988,1h 44m,Robert Zemeckis,1543,41,OWA0093,N/A
Who Framed Roger Rabbit,7.7,213000.0,83.0,PG,1988,1h 44m,Robert Zemeckis,1543,41,OWA0084,N/A
Back to the Future Part II,7.8,563000.0,57.0,PG,1989,1h 48m,Robert Zemeckis,1572,41,N/A,N/A
The Witches,5.4,45000.0,47.0,PG,2020,1h 46m,Robert Zemeckis,1699,41,N/A,N/A
Death Becomes Her,6.6,129000.0,56.0,PG-13,1992,1h 44m,Robert Zemeckis,1714,41,OWA0084,N/A
Pinocchio,5.1,41000.0,38.0,PG,2022,1h 45m,Robert Zemeckis,1715,41,OWA0030,N/A
Pinocchio,5.1,41000.0,38.0,PG,2022,1h 45m,Robert Zemeckis,1715,41,OWA0022,N/A
It's a Wonderful Life,8.6,486000.0,89.0,PG,1946,2h 10m,Frank Capra,36,42,N/A,N/A
Five Nights at Freddy's,5.5,78000.0,33.0,PG-13,2023,1h 49m,Emma Tammi,37,43,N/A,N/A
The Santa Clause,6.6,130000.0,57.0,PG,1994,1h 37m,John Pasquin,38,44,N/A,N/A
Finestkind,5.8,1900.0,44.0,R,2023,2h 6m,Brian Helgeland,39,45,N/A,N/A
A Knight's Tale,7.0,198000.0,56.0,PG-13,2001,2h 12m,Brian Helgeland,570,45,N/A,N/A
Payback,7.1,143000.0,46.0,R,1999,1h 40m,Brian Helgeland,682,45,N/A,N/A
Legend,6.9,198000.0,55.0,R,2015,2h 12m,Brian Helgeland,797,45,N/A,N/A
Thanksgiving,6.8,15000.0,63.0,R,2023,1h 46m,Eli Roth,40,46,N/A,N/A
Knock Knock,4.9,102000.0,53.0,R,2015,1h 39m,Eli Roth,636,46,N/A,N/A
Hostel,5.9,189000.0,55.0,R,2005,1h 34m,Eli Roth,1357,46,N/A,N/A
The Holiday,6.9,312000.0,52.0,PG-13,2006,2h 16m,Nancy Meyers,41,47,N/A,N/A
The Parent Trap,6.6,151000.0,64.0,PG,1998,2h 8m,Nancy Meyers,1037,47,N/A,N/A
The Intern,7.1,269000.0,51.0,PG-13,2015,2h 1m,Nancy Meyers,1446,47,N/A,N/A
The Hunger Games,7.2,982000.0,68.0,PG-13,2012,2h 22m,Gary Ross,42,48,N/A,N/A
Ocean's Eight,6.3,237000.0,61.0,PG-13,2018,1h 50m,Gary Ross,1204,48,N/A,N/A
A Christmas Story,7.9,165000.0,77.0,PG,1983,1h 33m,Bob Clark,43,49,N/A,N/A
Black Christmas,7.1,47000.0,65.0,R,1974,1h 38m,Bob Clark,249,49,N/A,N/A
Porky's,6.2,45000.0,40.0,R,1981,1h 34m,Bob Clark,1381,49,N/A,N/A
Willy Wonka & the Chocolate Factory,7.8,218000.0,67.0,G,1971,1h 40m,Mel Stuart,44,50,N/A,N/A
Scrooged,6.9,113000.0,38.0,PG-13,1988,1h 41m,Richard Donner,46,53,N/A,N/A
The Goonies,7.7,293000.0,62.0,PG,1985,1h 54m,Richard Donner,126,53,N/A,N/A
Lethal Weapon,7.6,272000.0,68.0,R,1987,1h 49m,Richard Donner,623,53,N/A,N/A
Superman,7.4,185000.0,82.0,PG,1978,2h 23m,Richard Donner,648,53,OWA0073,N/A
Ferrari,6.7,1800.0,74.0,R,2023,2h 10m,Michael Mann,47,54,N/A,N/A
Heat,8.3,703000.0,76.0,R,1995,2h 50m,Michael Mann,174,54,N/A,N/A
The Last of the Mohicans,7.7,184000.0,76.0,R,1992,1h 52m,Michael Mann,849,54,OWA0057,N/A
Collateral,7.5,427000.0,71.0,R,2004,2h,Michael Mann,1257,54,N/A,N/A
