Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Movie_ID,Director_ID,Oscar_Award_ID,GG_Award_ID
Pixels,5.6,156000,27,PG-13,2015,1h 45m,1558,36,,
A Haunting in Venice,6.5,84000,63,PG-13,2023,1h 43m,32,37,,
Death on the Nile,6.3,180000,52,PG-13,2022,2h 7m,254,37,OWA0053,
Murder on the Orient Express,6.5,285000,52,PG-13,2017,1h 54m,319,37,OWA0026,
Belfast,7.2,87000,75,PG-13,2021,1h 38m,519,37,OWA0036,GG012
Cinderella,6.9,188000,67,PG,2015,1h 45m,816,37,,
Thor,7.0,888000,57,PG-13,2011,1h 55m,930,37,,
The Marvels,5.9,64000,50,PG-13,2023,1h 45m,33,38,,
The Polar Express,6.6,233000,61,G,2004,1h 40m,35,41,,
A Christmas Carol,6.8,127000,55,PG,2009,1h 36m,71,41,OWA0072,
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0080,GG001
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0080,GG011
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0012,GG001
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0012,GG011
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0020,GG001
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0020,GG011
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0060,GG001
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0060,GG011
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0084,GG001
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0084,GG011
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0095,GG001
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,201,41,OWA0095,GG011
Back to the Future,8.5,1300000,87,PG,1985,1h 56m,231,41,OWA0093,
Cast Away,7.8,627000,73,PG-13,2000,2h 23m,1118,41,,GG003
Flight,7.3,371000,76,R,2012,2h 18m,1287,41,,
Contact,7.5,289000,62,PG,1997,2h 30m,1531,41,,
Who Framed Roger Rabbit,7.7,213000,83,PG,1988,1h 44m,1543,41,OWA0020,
Who Framed Roger Rabbit,7.7,213000,83,PG,1988,1h 44m,1543,41,OWA0093,
Who Framed Roger Rabbit,7.7,213000,83,PG,1988,1h 44m,1543,41,OWA0084,
Back to the Future Part II,7.8,563000,57,PG,1989,1h 48m,1572,41,,
The Witches,5.4,45000,47,PG,2020,1h 46m,1699,41,,
Death Becomes Her,6.6,129000,56,PG-13,1992,1h 44m,1714,41,OWA0084,
Pinocchio,5.1,41000,38,PG,2022,1h 45m,1715,41,OWA0030,
Pinocchio,5.1,41000,38,PG,2022,1h 45m,1715,41,OWA0022,
It's a Wonderful Life,8.6,486000,89,PG,1946,2h 10m,36,42,,
Five Nights at Freddy's,5.5,78000,33,PG-13,2023,1h 49m,37,43,,
The Santa Clause,6.6,130000,57,PG,1994,1h 37m,38,44,,
Finestkind,5.8,1900,44,R,2023,2h 6m,39,45,,
A Knight's Tale,7.0,198000,56,PG-13,2001,2h 12m,570,45,,
Payback,7.1,143000,46,R,1999,1h 40m,682,45,,
Legend,6.9,198000,55,R,2015,2h 12m,797,45,,
Thanksgiving,6.8,15000,63,R,2023,1h 46m,40,46,,
Knock Knock,4.9,102000,53,R,2015,1h 39m,636,46,,
Hostel,5.9,189000,55,R,2005,1h 34m,1357,46,,
The Holiday,6.9,312000,52,PG-13,2006,2h 16m,41,47,,
The Parent Trap,6.6,151000,64,PG,1998,2h 8m,1037,47,,
The Intern,7.1,269000,51,PG-13,2015,2h 1m,1446,47,,
The Hunger Games,7.2,982000,68,PG-13,2012,2h 22m,42,48,,
Ocean's Eight,6.3,237000,61,PG-13,2018,1h 50m,1204,48,,
A Christmas Story,7.9,165000,77,PG,1983,1h 33m,43,49,,
Black Christmas,7.1,47000,65,R,1974,1h 38m,249,49,,
Porky's,6.2,45000,40,R,1981,1h 34m,1381,49,,
Willy Wonka & the Chocolate Factory,7.8,218000,67,G,1971,1h 40m,44,50,,
Scrooged,6.9,113000,38,PG-13,1988,1h 41m,46,53,,
The Goonies,7.7,293000,62,PG,1985,1h 54m,126,53,,
Lethal Weapon,7.6,272000,68,R,1987,1h 49m,623,53,,
Superman,7.4,185000,82,PG,1978,2h 23m,648,53,OWA0073,
Ferrari,6.7,1800,74,R,2023,2h 10m,47,54,,
Heat,8.3,703000,76,R,1995,2h 50m,174,54,,
The Last of the Mohicans,7.7,184000,76,R,1992,1h 52m,849,54,OWA0057,
Collateral,7.5,427000,71,R,2004,2h,1257,54,,
Public Enemies,7.0,315000,70,R,2009,2h 20m,1370,54,,
No Hard Feelings,6.4,118000,59,R,2023,1h 43m,48,55,,
Charlie and the Chocolate Factory,6.7,514000,72,PG,2005,1h 55m,49,56,,
Batman Returns,7.1,323000,68,PG-13,1992,2h 6m,522,56,,
Edward Scissorhands,7.9,516000,74,PG-13,1990,1h 45m,527,56,,
Beetlejuice,7.5,331000,70,PG,1988,1h 32m,553,56,OWA0092,
Planet of the Apes,5.7,226000,50,PG-13,2001,2h,607,56,,
Batman,7.5,399000,69,PG-13,1989,2h 6m,666,56,OWA0003,
Alice in Wonderland,6.4,435000,53,PG,2010,1h 48m,790,56,OWA0003,
Alice in Wonderland,6.4,435000,53,PG,2010,1h 48m,790,56,OWA0053,
Sleepy Hollow,7.3,379000,65,R,1999,1h 45m,1052,56,OWA0003,
Sweeney Todd: The Demon Barber of Fleet Street,7.3,383000,83,R,2007,1h 56m,1137,56,,GG006
Sweeney Todd: The Demon Barber of Fleet Street,7.3,383000,83,R,2007,1h 56m,1137,56,,GG004
Big Fish,8.0,454000,58,PG-13,2003,2h 5m,1155,56,,
Mars Attacks!,6.4,240000,52,PG-13,1996,1h 46m,1249,56,,
Miss Peregrine's Home for Peculiar Children,6.7,185000,57,PG-13,2016,2h 7m,1399,56,,
X,6.5,157000,79,R,2022,1h 45m,50,57,,
Pearl,7.0,83000,76,R,2022,1h 43m,118,57,,
Mission: Impossible - Dead Reckoning Part One,7.8,202000,81,PG-13,2023,2h 43m,51,58,,
Jack Reacher,7.0,359000,50,PG-13,2012,2h 10m,283,58,,
Mission: Impossible - Fallout,7.7,370000,86,PG-13,2018,2h 27m,511,58,,
Mission: Impossible - Rogue Nation,7.4,404000,75,PG-13,2015,2h 11m,1311,58,,
Asteroid City,6.6,91000,75,PG-13,2023,1h 45m,53,62,,
The Grand Budapest Hotel,8.1,869000,88,R,2014,1h 39m,455,62,OWA0053,GG004
The Grand Budapest Hotel,8.1,869000,88,R,2014,1h 39m,455,62,OWA0101,GG004
The Grand Budapest Hotel,8.1,869000,88,R,2014,1h 39m,455,62,OWA0030,GG004
The Grand Budapest Hotel,8.1,869000,88,R,2014,1h 39m,455,62,OWA0102,GG004
Fantastic Mr. Fox,7.9,263000,83,PG,2009,1h 27m,836,62,,
The French Dispatch,7.1,146000,74,R,2021,1h 47m,893,62,,
The Life Aquatic with Steve Zissou,7.2,208000,62,R,2004,1h 59m,1358,62,,
The Royal Tenenbaums,7.6,309000,76,R,2001,1h 50m,1644,62,,GG006
Moonrise Kingdom,7.8,364000,84,PG-13,2012,1h 34m,1669,62,,
