Movie_Name,Rating,Votes,Meta_Score,PG_Rating,Year,Duration,Director,Movie_ID,Director_ID
The Killing of a Sacred Deer,7,174000,73,R,2017,2h 1m,Yorgos Lanthimos,181,3
American Psycho,7.6,691000,64,R,2000,1h 42m,Mary Harron,182,172
Fred Claus,5.7,47000,42,PG,2007,1h 56m,David Dobkin,183,173
Eyes Wide Shut,7.5,367000,69,TV-MA,1999,2h 39m,Stanley Kubrick,184,174
Eight Crazy Nights,5.3,25000,23,PG-13,2002,1h 16m,Seth Kearsley,185,175
Beau Is Afraid,6.8,49000,63,R,2023,2h 59m,Ari Aster,186,147
Django Unchained,8.5,1700000,81,R,2012,2h 45m,Quentin Tarantino,187,107
Harry Potter and the Deathly Hallows: Part 2,8.1,929000,85,PG-13,2011,2h 10m,David Yates,188,161
Schindler's List,9,1400000,95,R,1993,3h 15m,Steven Spielberg,189,135
The Lord of the Rings: The Return of the King,9,1900000,94,PG-13,2003,3h 21m,Peter Jackson,191,104
The Departed,8.5,1400000,85,R,2006,2h 31m,Martin Scorsese,192,4
Promising Young Woman,7.5,201000,72,R,2020,1h 53m,Emerald Fennell,193,11
The Night Before,6.4,81000,58,R,2015,1h 41m,Jonathan Levine,194,178
Bullet Train,7.3,398000,49,R,2022,2h 7m,David Leitch,195,179
The Covenant,7.5,144000,63,R,2023,2h 3m,Guy Ritchie,196,148
Beauty and the Beast,7.1,329000,65,PG,2017,2h 9m,Bill Condon,198,182
Don't Worry Darling,6.3,135000,48,R,2022,2h 3m,Olivia Wilde,199,183
The Little Mermaid,7.2,147000,59,PG,2023,2h 15m,Rob Marshall,200,184
Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,Robert Zemeckis,201,41
Noelle,6.3,26000,48,G,2019,1h 40m,Marc Lawrence,202,185
Lucy,6.4,526000,62,R,2014,1h 29m,Luc Besson,203,168
There Will Be Blood,8.2,629000,93,R,2007,2h 38m,Paul Thomas Anderson,204,186
The Santa Clause 3: The Escape Clause,4.8,42000,32,G,2006,1h 32m,Michael Lembeck,205,92
Jack Frost,5.4,40000,40,PG,1998,1h 41m,Troy Miller,207,189
Vacation,7.3,118000,55,R,1983,1h 38m,Harold Ramis,208,190
Raiders of the Lost Ark,8.4,1000000,86,PG,1981,1h 55m,Steven Spielberg,212,135
The Hunger Games: Mockingjay - Part 2,6.5,362000,65,PG-13,2015,2h 17m,Francis Lawrence,213,6
No Time to Die,7.3,435000,68,PG-13,2021,2h 43m,Cary Joji Fukunaga,216,198
Watchmen,7.6,574000,56,R,2009,2h 42m,Zack Snyder,217,14
Apocalypse Now,8.4,699000,94,R,1979,2h 27m,Francis Ford Coppola,218,85
Alien,8.5,931000,89,R,1979,1h 57m,Ridley Scott,220,7
Please Don't Destroy: The Treasure of Foggy Mountain,6.1,4400,49,R,2023,1h 32m,Paul Briganti,221,201
Gone Girl,8.1,1000000,79,R,2014,2h 29m,David Fincher,222,31
Saving Private Ryan,8.6,1500000,91,R,1998,2h 49m,Steven Spielberg,223,135
The Notebook,7.8,606000,53,PG-13,2004,2h 3m,Nick Cassavetes,224,202
Twilight,5.3,481000,56,PG-13,2008,2h 2m,Catherine Hardwicke,226,203
The Whale,7.7,193000,60,R,2022,1h 57m,Darren Aronofsky,227,144
Scarface,8.3,897000,65,18+,1983,2h 50m,Brian De Palma,228,204
Blade Runner,8.1,809000,84,R,1982,1h 57m,Ridley Scott,229,7
Fifty Shades of Grey,4.2,332000,46,R,2015,2h 5m,Sam Taylor-Johnson,230,205
Back to the Future,8.5,1300000,87,PG,1985,1h 56m,Robert Zemeckis,231,41
The Green Mile,8.6,1400000,61,R,1999,3h 9m,Frank Darabont,232,80
A Boy Called Christmas,6.7,26000,61,PG,2021,1h 46m,Gil Kenan,233,206
Wind River,7.7,274000,73,R,2017,1h 47m,Taylor Sheridan,234,207
Holidate,6.1,76000,44,TV-MA,2020,1h 44m,John Whitesell,236,126
Uncharted,6.3,246000,45,PG-13,2022,1h 56m,Ruben Fleischer,237,208
Infinity Pool,6,49000,72,R,2023,1h 57m,Brandon Cronenberg,238,209
Barry Lyndon,8.1,179000,89,PG,1975,3h 5m,Stanley Kubrick,239,174
10 Things I Hate About You,7.3,373000,70,PG-13,1999,1h 37m,Gil Junger,240,210
The Marsh King's Daughter,5.8,4700,46,R,2023,1h 49m,Neil Burger,241,211
Harry Potter and the Prisoner of Azkaban,7.9,676000,82,PG,2004,2h 22m,Alfonso CuarÃ³n,242,212
Good Will Hunting,8.3,1000000,71,R,1997,2h 6m,Gus Van Sant,243,213
Don't Look Up,7.2,580000,49,R,2021,2h 18m,Adam McKay,244,214
The Prestige,8.5,1400000,66,PG-13,2006,2h 10m,Christopher Nolan,245,8
Joy Ride,6.4,18000,74,R,2023,1h 35m,Adele Lim,247,217
Men,6.1,58000,65,R,2022,1h 40m,Alex Garland,248,218
Black Christmas,7.1,47000,65,R,1974,1h 38m,Bob Clark,249,49
The Banshees of Inisherin,7.7,236000,87,R,2022,1h 54m,Martin McDonagh,250,219
