,Movie_Name,Movie_ID,Genre,Genre_ID
941,The Proposal,763,Drama,1
942,The Proposal,763,Comedy,5
943,The Proposal,763,Romance,7
944,V for Vendetta,766,Drama,1
945,V for Vendetta,766,Action,10
946,V for Vendetta,766,Sci-Fi,13
947,The Greatest Beer Run Ever,767,Drama,1
948,The Greatest Beer Run Ever,767,Adventure,4
949,The Greatest Beer Run Ever,767,War,20
950,White Noise,769,Drama,1
951,White Noise,769,Comedy,5
952,White Noise,769,Horror,16
953,Before Sunrise,770,Drama,1
954,Before Sunrise,770,Romance,7
955,Hell or High Water,773,Drama,1
956,Hell or High Water,773,Thriller,3
957,Hell or High Water,773,Crime,8
958,The Persian Version,776,Drama,1
959,The Persian Version,776,Comedy,5
960,The Persian Version,776,Romance,7
961,The Legend of Tarzan,778,Drama,1
962,The Legend of Tarzan,778,Adventure,4
963,The Legend of Tarzan,778,Action,10
964,Rise of the Planet of the Apes,780,Drama,1
965,Rise of the Planet of the Apes,780,Action,10
966,Rise of the Planet of the Apes,780,Sci-Fi,13
967,Unbroken,782,Drama,1
968,Unbroken,782,Action,10
969,Unbroken,782,Biography,11
970,Primal Fear,784,Drama,1
971,Primal Fear,784,Mystery,2
972,Primal Fear,784,Crime,8
973,Coco,785,Drama,1
974,Coco,785,Adventure,4
975,Coco,785,Animation,15
976,The Stranger,786,Drama,1
977,The Stranger,786,Thriller,3
978,The Stranger,786,Crime,8
979,Amadeus,787,Drama,1
980,Amadeus,787,Biography,11
981,Amadeus,787,Music,14
982,Mystic River,788,Drama,1
983,Mystic River,788,Mystery,2
984,Mystic River,788,Crime,8
985,American Gangster,791,Drama,1
986,American Gangster,791,Crime,8
987,American Gangster,791,Biography,11
988,Fingernails,793,Drama,1
989,Fingernails,793,Romance,7
990,Fingernails,793,Sci-Fi,13
991,Focus,794,Drama,1
992,Focus,794,Comedy,5
993,Focus,794,Crime,8
994,Legend,797,Drama,1
995,Legend,797,Adventure,4
996,Legend,797,Romance,7
997,Legend,797,Crime,8
998,Legend,797,Biography,11
999,Legend,797,Fantasy,12
1000,Remember the Night,798,Drama,1
1001,Remember the Night,798,Comedy,5
1002,Remember the Night,798,Romance,7
1003,Sleeping Beauty,799,Drama,1
1004,Sleeping Beauty,799,Mystery,2
