Year Film,Year Ceremony,Award,Name of Winner,Movie Name,Oscar Award ID
1944,1945,DOCUMENTARY (Feature),United States Navy,The Fighting Lady,OWA0044
1944,1945,DOCUMENTARY (Short Subject),United States Marine Corps,With the Marines at Tarawa,OWA0037
1944,1945,FILM EDITING,Barbara McLean,Wilson,OWA0020
1944,1945,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,Since You Went Away,OWA0042
1944,1945,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, Carmen Dragon",Cover Girl,OWA0039
1944,1945,MUSIC (Song),Music by James Van Heusen; Lyrics by Johnny Burke,Going My Way,OWA0022
1944,1945,BEST MOTION PICTURE,Paramount,Going My Way,OWA0045
1944,1945,SHORT SUBJECT (Cartoon),"Frederick C. Quimby, Producer",Mouse Trouble,OWA0016
1944,1945,SHORT SUBJECT (One-reel),"Jerry Fairbanks, Producer",Who's Who in Animal Land,OWA0028
1944,1945,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",I Won't Play,OWA0029
1944,1945,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",Wilson,OWA0015
1944,1945,SPECIAL EFFECTS,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",Thirty Seconds over Tokyo,OWA0033
1944,1945,WRITING (Original Motion Picture Story),Leo McCarey,Going My Way,OWA0043
1944,1945,WRITING (Original Screenplay),Lamar Trotti,Wilson,OWA0036
1944,1945,WRITING (Screenplay),"Frank Butler, Frank Cavett",Going My Way,OWA0024
1945,1946,ACTOR,Ray Milland,The Lost Weekend,OWA0001
1945,1946,ACTOR IN A SUPPORTING ROLE,James Dunn,A Tree Grows in Brooklyn,OWA0025
1945,1946,ACTRESS,Joan Crawford,Mildred Pierce,OWA0002
