,Movie Name,year,status,award,movie
187,Woody Allen,2012,Winner,Best Screenplay - Motion Picture,Midnight In Paris
188,Natalie Portman,2011,Winner,Best Performance by an Actress in a Motion Picture - Drama,Black Swan
189,Colin Firth,2011,Winner,Best Performance by an Actor in a Motion Picture - Drama,The King's Speech
190,Annette Bening,2011,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Kids Are All Right, The"
191,Paul Giamatti,2011,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Barney's Version
192,In A Better World,2011,Winner,Best Motion Picture – Non-English Language,
193,Melissa Leo,2011,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Fighter, The"
194,Christian Bale,2011,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Fighter, The"
195,David Fincher,2011,Winner,Best Director - Motion Picture,The Social Network
196,David Fincher,2011,Winner,Best Director - Motion Picture,The Social Network
197,"""You Haven't Seen The Last of Me""",2011,Winner,Best Original Song - Motion Picture,Burlesque
198,The Social Network,2011,Winner,Best Motion Picture - Drama,
199,"Kids Are All Right, The",2011,Winner,Best Motion Picture - Musical or Comedy,
200,The Social Network,2011,Winner,Best Motion Picture - Drama,
201,"Kids Are All Right, The",2011,Winner,Best Motion Picture - Musical or Comedy,
202,Aaron Sorkin,2011,Winner,Best Screenplay - Motion Picture,The Social Network
203,Jeff Bridges,2010,Winner,Best Performance by an Actor in a Motion Picture - Drama,Crazy Heart
204,Meryl Streep,2010,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie & Julia
205,Robert Downey Jr.,2010,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sherlock Holmes
206,The White Ribbon (Das weiße Band - Eine Deutsche Kindergeschichte),2010,Winner,Best Motion Picture – Non-English Language,
207,Mo’Nique Mo’nique,2010,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Precious: Based on the novel Push by Sapphire
208,Christoph Waltz,2010,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Inglourious Basterds
209,James Cameron,2010,Winner,Best Director - Motion Picture,Avatar
210,Michael Giacchino,2010,Winner,Best Original Score - Motion Picture,Up
211,"""The Weary Kind (Theme From Crazy Heart)""",2010,Winner,Best Original Song - Motion Picture,Crazy Heart
212,"""The Weary Kind (Theme From Crazy Heart)""",2010,Winner,Best Original Song - Motion Picture,Crazy Heart
213,"""The Weary Kind (Theme From Crazy Heart)""",2010,Winner,Best Original Song - Motion Picture,Crazy Heart
214,"Hangover, The",2010,Winner,Best Motion Picture - Musical or Comedy,
215,Up,2010,Winner,Best Motion Picture - Animated,
216,"Jason Reitman, Sheldon Turner",2010,Winner,Best Screenplay - Motion Picture,Up In The Air
217,Kate Winslet,2009,Winner,Best Performance by an Actress in a Motion Picture - Drama,Revolutionary Road
218,Mickey Rourke,2009,Winner,Best Performance by an Actor in a Motion Picture - Drama,The Wrestler
219,Sally Hawkins,2009,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Happy-Go-Lucky
220,Colin Farrell,2009,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,In Bruges
221,Waltz with Bashir,2009,Winner,Best Motion Picture – Non-English Language,
222,Kate Winslet,2009,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Reader, The"
223,Heath Ledger,2009,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Dark Knight, The"
224,Danny Boyle,2009,Winner,Best Director - Motion Picture,Slumdog Millionaire
225,A. R. Rahman,2009,Winner,Best Original Score - Motion Picture,Slumdog Millionaire
226,The Wrestler,2009,Winner,Best Original Song - Motion Picture,The Wrestler
227,Slumdog Millionaire,2009,Winner,Best Motion Picture - Drama,
228,Vicky Cristina Barcelona,2009,Winner,Best Motion Picture - Musical or Comedy,
229,Wall-E,2009,Winner,Best Motion Picture - Animated,
230,Simon Beaufoy,2009,Winner,Best Screenplay - Motion Picture,Slumdog Millionaire
231,Julie Christie,2008,Winner,Best Performance by an Actress in a Motion Picture - Drama,Away From Her
232,Marion Cotillard,2008,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,La Vie En Rose
233,Johnny Depp,2008,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sweeney Todd: The Demon Barber of Fleet Street
234,Javier Bardem,2008,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,No Country for Old Men
235,The Diving Bell and the Butterfly,2008,Winner,Best Motion Picture – Non-English Language,
236,Cate Blanchett,2008,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,I'm Not There
237,Julian Schnabel,2008,Winner,Best Director - Motion Picture,The Diving Bell and the Butterfly
238,Dario Marianelli,2008,Winner,Best Original Score - Motion Picture,Atonement
239,Daniel Day-Lewis,2008,Winner,Best Performance by an Actor in a Motion Picture - Drama,There Will Be Blood
240,Sweeney Todd: The Demon Barber of Fleet Street,2008,Winner,Best Motion Picture - Musical or Comedy,
241,Ratatouille,2008,Winner,Best Motion Picture - Animated,
242,"Joel Coen, Ethan Coen",2008,Winner,Best Screenplay - Motion Picture,No Country for Old Men
243,Helen Mirren,2007,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Queen, The"
244,Helen Mirren,2007,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Queen, The"
245,Forest Whitaker,2007,Winner,Best Performance by an Actor in a Motion Picture - Drama,"Last King of Scotland, The"
246,Meryl Streep,2007,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Devil Wears Prada, The"
247,Sacha Baron Cohen,2007,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Borat
248,Letters from Iwo Jima,2007,Winner,Best Motion Picture – Non-English Language,
249,Jennifer Hudson,2007,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dreamgirls
250,Eddie Murphy,2007,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dreamgirls
251,Martin Scorsese,2007,Winner,Best Director - Motion Picture,"Departed, The"
252,Alexandre Desplat,2007,Winner,Best Original Score - Motion Picture,The Painted Veil
253,Babel,2007,Winner,Best Motion Picture - Drama,
254,Cars,2007,Winner,Best Motion Picture - Animated,
255,Dreamgirls,2007,Winner,Best Motion Picture - Musical or Comedy,
256,Peter Morgan,2007,Winner,Best Screenplay - Motion Picture,"Queen, The"
257,The Song Of The Heart,2007,Winner,Best Original Song - Motion Picture,Happy Feet
258,Felicity Huffman,2006,Winner,Best Performance by an Actress in a Motion Picture - Drama,Transamerica
259,Philip Seymour Hoffman,2006,Winner,Best Performance by an Actor in a Motion Picture - Drama,Capote
260,Reese Witherspoon,2006,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Walk The Line
261,Joaquin Phoenix,2006,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walk The Line
262,Paradise Now,2006,Winner,Best Motion Picture – Non-English Language,
263,Rachel Weisz,2006,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Constant Gardener, The"
264,George Clooney,2006,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Syriana
265,Ang Lee,2006,Winner,Best Director - Motion Picture,Brokeback Mountain
266,"Larry McMurtry, Diana Ossana",2006,Winner,Best Screenplay - Motion Picture,Brokeback Mountain
267,John Williams,2006,Winner,Best Original Score - Motion Picture,Memoirs of a Geisha
268,Brokeback Mountain,2006,Winner,Best Motion Picture - Drama,
269,Walk The Line,2006,Winner,Best Motion Picture - Musical or Comedy,
270,"""A Love That Will Never Grow Old""",2006,Winner,Best Original Song - Motion Picture,Brokeback Mountain
271,Hilary Swank,2005,Winner,Best Performance by an Actress in a Motion Picture - Drama,Million Dollar Baby
272,Leonardo DiCaprio,2005,Winner,Best Performance by an Actor in a Motion Picture - Drama,The Aviator
273,Natalie Portman,2005,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Closer
274,Annette Bening,2005,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Being Julia
275,Natalie Portman,2005,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Closer
276,Annette Bening,2005,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Being Julia
277,"Sea Inside, The",2005,Winner,Best Motion Picture – Non-English Language,
278,Clive Owen,2005,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Closer
279,Howard Shore,2005,Winner,Best Original Score - Motion Picture,The Aviator
280,Clint Eastwood,2005,Winner,Best Director - Motion Picture,Million Dollar Baby
281,Jamie Foxx,2005,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ray
282,Sideways,2005,Winner,Best Motion Picture - Musical or Comedy,
283,The Aviator,2005,Winner,Best Motion Picture - Drama,
284,Sofia Coppola,2004,Winner,Best Screenplay - Motion Picture,Lost in Translation
285,The Lord of the Rings: The Return of the King,2004,Winner,Best Motion Picture - Drama,
286,Lost in Translation,2004,Winner,Best Motion Picture - Musical or Comedy,
287,Howard Shore,2004,Winner,Best Original Score - Motion Picture,The Lord of the Rings: The Return of the King
288,Peter Jackson,2004,Winner,Best Director - Motion Picture,The Lord of the Rings: The Return of the King
289,Osama,2004,Winner,Best Motion Picture – Non-English Language,
290,Renée Zellweger,2004,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cold Mountain
291,Diane Keaton,2004,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Something's Gotta Give
292,Bill Murray,2004,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lost in Translation
293,Tim Robbins,2004,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mystic River
294,Charlize Theron,2004,Winner,Best Performance by an Actress in a Motion Picture - Drama,Monster
295,Jack Nicholson,2003,Winner,Best Performance by an Actor in a Motion Picture - Drama,About Schmidt
296,Jack Nicholson,2003,Winner,Best Performance by an Actor in a Motion Picture - Drama,About Schmidt
297,The Hours,2003,Winner,Best Motion Picture - Drama,
298,Chicago,2003,Winner,Best Motion Picture - Musical or Comedy,
299,Elliot Goldenthal,2003,Winner,Best Original Score - Motion Picture,Frida
300,Martin Scorsese,2003,Winner,Best Director - Motion Picture,Gangs of New York
301,Talk To Her,2003,Winner,Best Motion Picture – Non-English Language,
302,Meryl Streep,2003,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Adaptation
303,Renée Zellweger,2003,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Chicago
304,Richard Gere,2003,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chicago
305,Chris Cooper,2003,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Adaptation
306,Chris Cooper,2003,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Adaptation
307,The Hands That Built America,2003,Winner,Best Original Song - Motion Picture,Gangs of New York
308,Russell Crowe,2002,Winner,Best Performance by an Actor in a Motion Picture - Drama,A Beautiful Mind
309,The Hands That Built America,2003,Winner,Best Original Song - Motion Picture,Gangs of New York
310,Russell Crowe,2002,Winner,Best Performance by an Actor in a Motion Picture - Drama,A Beautiful Mind
311,Akiva Goldsman,2002,Winner,Best Screenplay - Motion Picture,A Beautiful Mind
