Movie Name,Year Ceremony,Oscar Award,Oscar Winner,Year,Golden Globe Award,GG Winer
Sergeant York,1942,FILM EDITING,William Holmes,0,,
How Green Was My Valley,1942,ACTOR IN A SUPPORTING ROLE,Donald Crisp,0,,
How Green Was My Valley,1942,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little",0,,
How Green Was My Valley,1942,CINEMATOGRAPHY (Black-and-White),Arthur Miller,0,,
How Green Was My Valley,1942,DIRECTING,John Ford,0,,
How Green Was My Valley,1942,OUTSTANDING MOTION PICTURE,20th Century-Fox,0,,
Suspicion,1942,ACTRESS,Joan Fontaine,0,,
The Great Lie,1942,ACTRESS IN A SUPPORTING ROLE,Mary Astor,0,,
Blossoms in the Dust,1942,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",0,,
Blood and Sand,1942,CINEMATOGRAPHY (Color),"Ernest Palmer, Ray Rennahan",0,,
Churchill's Island,1942,DOCUMENTARY (Short Subject),National Film Board of Canada,0,,
All That Money Can Buy,1942,MUSIC (Music Score of a Dramatic Picture),Bernard Herrmann,0,,
Dumbo,1942,MUSIC (Scoring of a Musical Picture),"Frank Churchill, Oliver Wallace",0,,
Lady Be Good,1942,MUSIC (Song),Music by Jerome Kern; Lyrics by Oscar Hammerstein II,0,,
Lend a Paw,1942,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
Of Pups and Puzzles,1942,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,0,,
Main Street on the March!,1942,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,0,,
That Hamilton Woman,1942,SOUND RECORDING,"General Service Sound Department, Jack Whitney, Sound Director",0,,
I Wanted Wings,1942,SPECIAL EFFECTS,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",0,,
Citizen Kane,1942,WRITING (Original Screenplay),"Herman J. Mankiewicz, Orson Welles",0,,
Here Comes Mr. Jordan,1942,WRITING (Original Story),Harry Segall,0,,
